index	label	text
13	0	@USER :pouting_face: no he bloody is n't I was upstairs getting changed !
25	1	Love these cold winter mornings :grimacing_face: best feeling everrrrrrr !
27	0	Wish she could have told me herself . @USER #nicolescherzinger #OneLove #myfav #MyQueen :red_heart: :red_heart: HTTPURL
28	0	The rain has made extra extra lazy :grinning_face_with_sweat:
34	0	@USER lol :beaming_face_with_smiling_eyes: .. Will let my kids know when they get up in the morning .. Thanks for the tip
39	1	Yay for another work at 4am day :neutral_face:
41	1	Omg @USER did n't tell @USER he was in town :face_screaming_in_fear: #trueFriend
45	0	Lol ! I m enjoying it :two_women_holding_hands: #Talks #Crazyness #SheNeverLeft sleepy ! ! :smiling_face:
69	1	I asked God to protect me from my enemies .. shortly after I started losing friends :flushed_face: :hundred_points: or #naah
85	0	On my lunch break so sleepy :sleeping_face:
100	1	i just loveee bein short and having my sweatpants go all the way under my feet its so fun ... :pile_of_poo:
104	0	I do n't even have progress on my thesis tas preparations for our event this thursday :weary_face:
109	1	I 'm so pissed off at Chicago . Like the people at the airport ruined so many peoples chances of ever meeting the boys :expressionless_face: :expressionless_face: :expressionless_face: . Way to go
112	0	Its a marshmallow world in the winter :musical_notes: #getthisoutofmyhead
120	0	@USER Asalamoalekum ... :grinning_face_with_big_eyes: kesay mizaj ? Thank you so much . It was posted on 2nd December 2013 . Already there . :smiling_face_with_halo:
153	1	I like listening to dads truck drivers tell me about them going to the strip joint and their old lady getting mad at them over it :face_with_tears_of_joy:
155	0	@USER its a week joke I have with Jessica and my niece :raising_hands:
164	0	Auntie just called and said shes on her way .. | I better get dressed then :astonished_face: :face_with_tears_of_joy: :face_with_tears_of_joy:
168	0	@USER : One day I want to travel with my bestfriend :globe_showing_Asia-Australia: :airplane: HTTPURL DONE DID TRAVELED DA WORLD ! ! @USER :red_heart:
172	0	That was the cutest thing ever :smiling_face_with_heart-eyes: :face_blowing_a_kiss:
175	0	I enjoy stealing my husband hat every once in awhile :smiling_face_with_heart-eyes: :face_blowing_a_kiss: :flushed_face: #heyyall #GoodMorning HTTPURL
185	0	Country music & photo editing , my type of morning :sun: :musical_notes:
200	0	Church sign of the day : How would you feel if we celebrated your birthday without you ? :speak-no-evil_monkey: #StoleEm #TheReasonForTheSeason
208	0	@USER if @USER exclude BF3 maps from the poll ... I am going to RIOT ! ! I really want Seine Crossing back :loudly_crying_face: :loudly_crying_face: | I would pay for it ! !
209	1	I love 14 hour shifts :weary_face: :weary_face: :weary_face:
219	1	Last day in Naples with my Emma girl ! :palm_tree: :sun: #soeasytotakeapicwithatoddler #19wksandcounting ... HTTPURL
