index	label	text
13	0	@USER no he bloody is n't I was upstairs getting changed !
25	1	Love these cold winter mornings best feeling everrrrrrr !
27	0	Wish she could have told me herself . @USER #nicolescherzinger #OneLove #myfav #MyQueen HTTPURL
28	0	The rain has made extra extra lazy 
34	0	@USER lol .. Will let my kids know when they get up in the morning .. Thanks for the tip
39	1	Yay for another work at 4am day 
41	1	Omg @USER did n't tell @USER he was in town #trueFriend
45	0	Lol ! I m enjoying it #Talks #Crazyness #SheNeverLeft sleepy ! ! 
69	1	I asked God to protect me from my enemies .. shortly after I started losing friends or #naah
85	0	On my lunch break so sleepy 
100	1	i just loveee bein short and having my sweatpants go all the way under my feet its so fun ... 
104	0	I do n't even have progress on my thesis tas preparations for our event this thursday 
109	1	I 'm so pissed off at Chicago . Like the people at the airport ruined so many peoples chances of ever meeting the boys . Way to go
112	0	Its a marshmallow world in the winter #getthisoutofmyhead
120	0	@USER Asalamoalekum ... kesay mizaj ? Thank you so much . It was posted on 2nd December 2013 . Already there . 
153	1	I like listening to dads truck drivers tell me about them going to the strip joint and their old lady getting mad at them over it 
155	0	@USER its a week joke I have with Jessica and my niece 
164	0	Auntie just called and said shes on her way .. | I better get dressed then 
168	0	@USER : One day I want to travel with my bestfriend HTTPURL DONE DID TRAVELED DA WORLD ! ! @USER 
172	0	That was the cutest thing ever 
175	0	I enjoy stealing my husband hat every once in awhile #heyyall #GoodMorning HTTPURL
185	0	Country music & photo editing , my type of morning 
200	0	Church sign of the day : How would you feel if we celebrated your birthday without you ? #StoleEm #TheReasonForTheSeason
208	0	@USER if @USER exclude BF3 maps from the poll ... I am going to RIOT ! ! I really want Seine Crossing back | I would pay for it ! !
209	1	I love 14 hour shifts 
219	1	Last day in Naples with my Emma girl ! #soeasytotakeapicwithatoddler #19wksandcounting ... HTTPURL
226	1	Yay I love being awake at 5 in the morning 
227	0	Off to a slow start this morning . 
258	0	@USER me and you are the only ones that love it 
259	0	In need of a rose winee 
276	1	Jeez it 's a lovely morning out ! ! #Ireland #December
281	1	50 mph winds make a great hair fan for a photo shoot . 
290	1	Love it when your typing at work and a spider comes out from the keyboard and hangs out between your fingers ... 
298	1	Perfect time to get really sick 
323	0	@USER @USER Johny UR cracking me up on Facebook chatting up my mate 
328	1	@USER : So PSN and Xbox Live are both down on a day many people get new video games . | | North Korean hack ? 
332	0	dayumm ! ! chtis brown is ma maaayuun ! ! HTTPURL
348	1	What an eventful day ... 
371	0	@USER ill see if I can 
373	0	I really need to get my nails and eyebrows done tomorrow been slacking on that #cool 
378	0	Suppose I best move my arse to the #gym . Anything to put off wrapping presents #christmas #chore
385	0	Who 's eating everything on the table for Noche buena ? 
389	0	@USER * * * ALERT * * * PLEASE CHANGE THIS ... ITS ME > > > #NowPlaying Relentlezz @USER - Who I Be Tune In : HTTPURL
401	1	Dragging her feet , smacking her lips , and scowling at the empty street while screaming into the phone ! ... such grace . ! 
413	0	just one of those nights 
417	1	Today I 'll lecture on CRM investments & shareholder value ... So excited ... I 'm sleepy 
426	0	Had no sleep and have got school now happy 
427	1	love , love , love how the left side of my face is swollen . 
435	1	Yeah nice hair babes HTTPURL HTTPURL
469	1	Well my mornings going very nicely 
470	1	Sad I do n't have a Christmas jumper , thanks @USER for your super fast delivery 
481	1	Shakespeare is great 
494	0	Off to search for a Christmas gift for my dad bc procrastination 
514	0	@USER gotta hand it to them , really . 
516	1	Good thing I 'm scared of clowns and my kindergarten teacher was dressed as one today . 
517	1	LUV when my hair is frozen 
522	1	Soccer game should be fun today ... 
528	0	Why am I wide awake right now .. 
531	0	That was one long walk #GoMe HTTPURL
546	0	i would tell ya , but you just would n't understand ... 
548	0	Ca n't even explain how excited I am for tomorrow . 
579	0	Today is just not my day 
607	1	@USER : Love randomly waking up at 5:43 am me everyday multiple times 
620	0	@USER well the pain is n't makin me feel sick anymore so be all better for the big fella 
624	0	I 'm okay with snow , but sleet #howaboutno | 
627	1	#instacraze #addiction at HTTPURL
636	0	It 's too early to be awake ! 
647	0	Si Ms . Educ hehehe clear my ignorance 
652	1	Just submitted my final paper of the semester . It 's only a make-it or break-it on whether I pass the class . No big deal . 
658	0	I need new boots for my birthday .. And by new boots I mean like 3 or 4 pairs #ineednewboots #boots
660	0	@USER Why do n't you Tarmac all the speed humps in The Cut in 1 go instead of bit by bit as the brickwork disintegrates ! | Science
663	1	Sitting in this hall is fun ! ! 
666	0	I think #Stars are just the most gorgeous things in this world 
668	0	Lady in red | #ootd #im #the #mom #the #godmother #lol #athenakairalyn #baptism #love ... HTTPURL
675	1	I just love it when my knee clicks 
702	1	yet another rainy goshen concert night #surprised
732	1	I only bought a few people gifts this year HTTPURL
747	1	I love cold winter days cause I never know when my car decides not to start 
751	1	OMG YES . 7:30 FINALS ON A FRIDAY ARE MY FAVORITE . 
759	0	Just ordered 10 new pairs of underwear from Victoria Secret #yay
764	0	"Day 9 "" something your reading "" #decemberchallenge #lovehistory #lovenonfiction .. @USER Our Cosy House HTTPURL"
780	0	That was a very rememberable new years kiss #lovemyrelationship
801	0	Do n't forget the true meaning of Christmas 
804	1	@USER I miss seeing your face and t-Rex hands everyday on Vlogmas - Rexemoji 
809	0	I hate babysitting when I 'm sick because all I wanna do is sleep but I can't 
812	1	Jordan fan here | | - not a hater . HTTPURL
821	1	It 's not even 9 and I 've already called the cops twice .. Damn I love my job 
826	0	Ca n't get over this very British weather ! Remember to check under you cars and wheels for any small animals , they like to hide under cars 
