index	label	text
1	1	sweet united nations video. just in time for christmas. #imagine #noreligion http
2	1	@user we are rumored to have talked to erv's agent... and the angels asked about ed escobar... that's hardly nothing winking_face
3	1	hey there! nice to see you minnesota/nd winter weather
4	0	3 episodes left i'm dying over here
5	1	i can't breathe! was chosen as the most notable quote of the year in an annual list released by a yale university librarian
6	0	you're never too old for footie pajamas. http
7	1	nothing makes me happier then getting on the highway and seeing break lights light up like a christmas tree..
8	0	4:30 an opening my first beer now gonna be a long night/day
9	0	@user do you think you would support a guy who knocked out your daughter? rice doesn't deserve support.
10	0	@user you are not allowed to open that until christmas day!
11	1	oh, thank god - our entire office email system is down... the day of a big event. santa, you know just what to get me for xmas.
12	0	but instead, i'm scrolling through facebook, instagram, and twitter for hours on end, accomplishing nothing.
13	0	@user pouting_face no he bloody isn't i was upstairs getting changed !
14	0	cold or warmth both suffuse one's cheeks with pink (colour/tone) ... do you understand the underlying difference & its texture?
15	1	just great when you're mobile bill arrives by text
16	1	crushes are great until you realize they'll never be interested in you. face_with_tongue
17	1	buffalo sports media is smarter than all of us. where else can you get the quality insight offered by harrington and busgaglia.
18	0	i guess my cat also lost 3 pounds when she went to the vet after i've been feeding her a few times a day.#eating#food #workingout
19	1	@user @user trading a sp for a defense-only ss? brilliant trade.
20	1	but @user was trying to find us, and my battery died. guess how he found us? yes, that bastard wand! !!!!!
21	1	@user please do..i need the second hand embarrassment so desperatly on my phone
22	0	i never cared for beyonce, bc i could never get a sense of who she was. her interviews lacked depth. @user tho....this girl got it.
23	1	@user time to hit the books then
24	0	@user thx4flw! flwthemusic @user @user we r #elektrikbloom #elektrikfantasy #iwant2drift #elev8theunderground!
25	1	love these cold winter mornings grimacing_face best feeling everrrrrrr !
26	0	amazingly http is not owned by #bhp. they are going to have to shell out some decent money for it. #bhpbilliton #south32
27	0	wish she could have told me herself. @user #nicolescherzinger #onelove #myfav #myqueen red_heart_selector red_heart_selector http
28	0	the rain has made extra extra lazy grinning_face_with_sweat
29	0	i was doing great with this summary of my year until i got to june 27th, and the weekend of @user 's birthday. #rivertrip #groupchat
30	0	see, that might show up on a background check, and you'd be denied its a catch 22 we have the right to self protection @user
31	1	smh never knew something could be 80% halal....been muslim my whole life but somehow i've learned something new i guess
32	1	a wonderful day of starting work at 6am
33	0	i feel like whole life is about waiting waiting and waiting
34	0	@user lol beaming_face_with_smiling_eyes .. will let my kids know when they get up in the morning.. thanks for the tip
35	1	@user you guys sure screwed this up royally. i'm happy for lester, the brain trust over there sucks. #nicejob #lestertochicago
36	0	#aussie #gunman #was #on terrorist #watch #list, pm #says: sydney – the gunman who took 17 hostages in sydney... http
