index	label	text	word_count	emojis	emoji_count	emoji_sentiment_scores
1	1	Sweet United Nations video. Just in time for Christmas. #imagine #NoReligion  http://t.co/fej2v3OUBR	12		0	
2	1	@mrdahl87 We are rumored to have talked to Erv's agent... and the Angels asked about Ed Escobar... that's hardly nothing    ;)	21		0	
3	1	Hey there! Nice to see you Minnesota/ND Winter Weather 	9		0	
4	0	3 episodes left I'm dying over here	7		0	
5	1	I can't breathe! was chosen as the most notable quote of the year in an annual list released by a Yale University librarian 	23		0	
6	0	You're never too old for Footie Pajamas. http://t.co/ElzGqsX2yQ	8		0	
7	1	Nothing makes me happier then getting on the highway and seeing break lights light up like a Christmas tree.. 	19		0	
8	0	4:30 an opening my first beer now gonna be a long night/day	12		0	
9	0	@Adam_Klug do you think you would support a guy who knocked out your daughter? Rice doesn't deserve support.	18		0	
10	0	@samcguigan544 You are not allowed to open that until Christmas day!	11		0	
11	1	Oh, thank GOD - our entire office email system is down... the day of a big event. Santa, you know JUST what to get me for xmas. 	27		0	
12	0	But instead, I'm scrolling through Facebook, Instagram, and Twitter for hours on end, accomplishing nothing. 	15		0	
13	0	@TargetZonePT 😡 no he bloody isn't I was upstairs getting changed !	12	😡	1	-0.173
14	0	Cold or warmth both suffuse one's cheeks with pink (colour/tone) ... Do you understand the underlying difference & its texture?	20		0	
15	1	Just great when you're mobile bill arrives by text 	9		0	
16	1	crushes are great until you realize they'll never be interested in you.| :p	13		0	
17	1	Buffalo sports media is smarter than all of us. Where else can you get the quality insight offered by Harrington and Busgaglia. 	22		0	
18	0	I guess my cat also lost 3 pounds when she went to the vet after I've been feeding her a few times a day.||#Eating|#food| |#WorkingOut	25		0	
19	1	@YankeesWFAN @Ken_Rosenthal trading a SP for a defense-only SS? Brilliant trade. 	11		0	
20	1	But @DarklightDave was trying to find us, and my battery died. Guess how he found us? Yes, that bastard wand! !!!!!	21		0	
21	1	@deputymartinski please do..i need the second hand embarrassment so desperatly on my phone 	13		0	
22	0	I never cared for Beyonce, bc I could never get a sense of who she was. Her interviews lacked depth. @AZEALIABANKS tho....this girl got IT.	25		0	
23	1	@yWTorres9 time to hit the books then 	7		0	
24	0	@RushOrderTees THX4FLW! FLWtheMUSIC @ElektrikEventz @ElektrikMetro WE R #ElektrikBLOOM #ElektrikFANTASY #iwant2DRIFT #Elev8TheUnderground!	11		0	
25	1	Love these cold winter mornings 😬 best feeling everrrrrrr !	10	😬	1	0.196
26	0	Amazingly http://t.co/NEioZuNbLD is not owned by #BHP. They are going to have to shell out some decent money for it. #BHPBilliton #South32	22		0	
27	0	Wish she could have told me herself. @NicoleScherzy #nicolescherzinger #OneLove #myfav #MyQueen ❤️❤️ http://t.co/queL09fqyr	14	❤❤	2	0.746
28	0	The rain has made extra extra lazy😅	7	😅	1	0.18
29	0	I was doing great with this summary of my year until I got to June 27th, and the weekend of @Hartswormx3 's birthday. #rivertrip #groupchat	25		0	
30	0	see, that MIGHT show up on a background check, and you'd be denied its a catch 22 we have the right to self protection @serpentina66	25		0	
31	1	Smh never knew something could be 80% halal....Been muslim my whole life but somehow i've learned something new i guess 	20		0	
32	1	A wonderful day of starting work at 6am 	8		0	
33	0	i feel like whole life is about waiting waiting and waiting	11		0	
34	0	@Pure_playa85 lol 😁.. Will let my kids know when they get up in the morning.. Thanks for the tip	19	😁	1	0.45
35	1	@RedSox you guys sure screwed this up royally. I'm happy for Lester, the brain trust over there sucks. #nicejob  #LesterToChicago	20		0	
36	0	#Aussie #gunman #was  #on terrorist #watch #list, PM #says: SYDNEY – The gunman who took 17 hostages in Sydney... http://t.co/ibnxdPtu3W	20		0	
37	1	"Twig is now ""Sprig""—3 sec limit on new social video platform  #techtalk #editorspick #sillyvine #Tr... https://t.co/0DMkcXpYzq"	16		0	
38	0	@HEELTeacher and what will that achieve? Seriously?To be fired.all the guys who had the balls to call them out are gone..	21		0	
39	1	Yay for another work at 4am day 😐 	8	😐	1	-0.393
40	1	Physical therapy at 8 am is just what I want to be doing with my Friday  #iwanttosleep	17		0	
41	1	Omg @FloptimusCrime didn't tell @giantfootyguy he was in town 😱 #trueFriend 	11	😱	1	0.19
42	1	I THOUGHT WHAT WE HAD WAS REAL, HOW COULD YOU BE FINE? COZ I'M NOT FINE AT ALL Oh wait. Fixed the caps lock ^.^  #LaughNow .o.	27		0	
43	1	"HaHaHaHa!! #hypocrisy  ""MT @Independent: Katie Hopkins calls Russell Brand a bully..........: http://t.co/DZ05xHiuwl"""	12		0	
44	1	That moment when you have so much stuff to do but you open @tumblr ... #productivity  #tumblr	17		0	
45	0	Lol! I m enjoying it👭 #Talks #Crazyness #SheNeverLeft  sleepy!! ☺	10	👭☺	2	0.565
46	1	Luv this 	2		0	
47	1	": When some naturopaths sell ""aromatic"" herbs the way apothecaries sell noxious poisons. #Naturopath=#Apothecary #Herb=#Poison"	15		0	
48	0	@dixiessixty: Goal of the Season 1970: GOAL 1. Jon Sammels #ARSENAL vs #manutd https://t.co/W1p9bptdT3 @Lloydgallagher3 @bigtant1986	16		0	
49	0	really, what else can a fish be besides a fish? @RBRNetwork1 @TheOldBreed1775 @IndyEnigma @diverdown48	14		0	
50	0	@malesurvivor72 I think it's a safe bet it won't fit the crime.	12		0	
51	1	It will be impossible for me to be late if I start to dress up right now. #studing #university #lazy 	20		0	
52	1	When you're already running late and then your car won't start <<< #FantasticFriday 	13		0	
53	1	i decided to become my own boss to have more free time.. now i have no time left whatsoever. 	19		0	
54	0	loyalty vs. self protection loyalty vs. self protection loyalty vs. self protection loyalty vs. self protection	16		0	
55	0	American Kids starting playing and now I'm super missing #summer2k14 #kennychesney	11		0	
56	0	@corporateknight don't know how#Monsanto # among 100 most sustainable Cos in the world sure all parameters are measured#net positive?	19		0	
57	0	None of the big, disruptive innovations in our lives have come out of brainstorming. -Bruce Nussbaum http://t.co/ituc6zpusB	17		0	
58	0	that way people get to understand disabilities and not stare at us funny wen we out and about#IDPwD#disability	18		0	
59	1	@TheoCorleone @david_maclellan Shit! I better shut my stupid girly mouth because im so concerned about what men might think of me. 	21		0	
60	0	Why does my tongue feel it necessary to try and touch the high speed tool my dentist has put in my mouth?	22		0	
61	0	Tell me the #Quintessential #Aussie now isn't a Govt paid job & then have the hyde to buy overseas online and pay no GST . mmm #SadButTrue	27		0	
62	0	"@Parlett316 ""Dirk's got a lot of moves I'm trying to steal."" - Kevin Durant on his one-legged fadeway"	18		0	
63	1	About once a yr I get a little nutty and reach for the orange marmalade. #livingontheedge  http://t.co/sF9o6OWE1v	17		0	
64	1	Rogers, that smile just so accurately captures my reaction when I receive an extra high phone bill!   http://t.co/vFP1ehx7yL	18		0	
65	1	"Whatever happened to the Guano Apes? Did they ever make it ""Big in Japan""? "	14		0	
66	0	Bmw i8 sexy az hell but too slow for the dinero 12.4 in the quarter mile slow #fan of the design feeling the... http://t.co/DELfxN0BpI	24		0	
67	0	Let your humility guard your pride ... Vanity shouldn't be allowed to be with such a delicate thing.	18		0	
68	0	Whenever I get sad about how things are going now, I just think of how awesome the future looks to be. #secondsemester #drumcorps #college	24		0	
69	1	I asked God to protect me from my enemies .. shortly after I started losing friends 😳💯  or #naah	19	😳💯	2	0.06949999999999999
70	1	Just delivered @DominiqueAnsel #cronuts to @BouchonBakeryRC hmmm  its for a customer I hope!!! http://t.co/KDx0FhVqCW	14		0	
71	1	Such .   You still have to #praisehim ;)	8		0	
72	0	Hey heyy!!!I....wanna be a rockstar #vscocam  hero #vsocam #hero #spiderman http://t.co/9tuskhVYbJ	11		0	
73	1	@MaggieLindemann: . @xSamSecrets123 awk moment when I tweeted first #fakefan !!!!! 	11		0	
74	0	Waa mockingjay part 2 tahon depan meh 20 Nov 2015 wtvr Night at the museum 3 #mustwatchb4decemberendssobssobs http://t.co/rAc6XdS56z	18		0	
75	1	@AmbControl999 @HouseofCommons @Ed_Miliband @nick_clegg @David_Cameron  nice to see the ambulance service is so important to OUR mps 	17		0	
76	1	I love finals week! #justkidding  #stressed	6		0	
77	0	@gracewoods_ fucking copycat, although you're name is mint and the act we share it is probably a cause for alcohol filled celebration!!!	22		0	
78	0	Literally cried when I woke up because I know what this day has in store for me #TheStartOfTechWeek  Ready #JustShootMeKnow	20		0	
79	0	@RashawnFranklin Because I disagree w/ you? Trading three picks for one when you have glaring holes at numerous positions is ass-backwards.	21		0	
80	1	.@nypost .@Cameron_Gray Oh that makes it all better!!! 	8		0	
81	0	Why didn't I start watching the tudors earlier? #iloveit	9		0	
82	0	@guntrust http://t.co/8ICPDcAoNQ #CHRISTMAS #GIFT GET STARTED AT MAKING MONEY IN SOCIAL MEDIA @ https://t.co/cpJZkEgNe7	14		0	
83	0	"don't knw how to react everytime sum1 says me being in a wheelchair ""inspires"" them! im just living they same you are dude"	23		0	
