index	label	text
13	0	@TargetZonePT  no he bloody isn't I was upstairs getting changed !
25	1	Love these cold winter mornings  best feeling everrrrrrr !
27	0	Wish she could have told me herself. @NicoleScherzy #nicolescherzinger #OneLove #myfav #MyQueen ️️ http://t.co/queL09fqyr
28	0	The rain has made extra extra lazy
34	0	@Pure_playa85 lol .. Will let my kids know when they get up in the morning.. Thanks for the tip
39	1	Yay for another work at 4am day  
41	1	Omg @FloptimusCrime didn't tell @giantfootyguy he was in town  #trueFriend 
45	0	Lol! I m enjoying it #Talks #Crazyness #SheNeverLeft  sleepy!! 
69	1	I asked God to protect me from my enemies .. shortly after I started losing friends   or #naah
85	0	On my lunch break so sleepy
100	1	i just loveee bein short and having my sweatpants go all the way under my feet its so fun... 
104	0	I don't even have progress on my thesis tas preparations for our event this thursday 
109	1	I'm so pissed off at Chicago. Like the people at the airport ruined so many peoples chances of ever meeting the boys . Way to go 
112	0	Its a marshmallow world in the winter  #getthisoutofmyhead
120	0	@MohammadFarooq_ Asalamoalekum...  kesay mizaj ? Thank you so much. It was posted on 2nd December 2013. Already there. 
153	1	I like listening to dads truck drivers tell me about them going to the strip joint and their old lady getting mad at them over it  
155	0	@nfullers98 its a week joke I have with Jessica and my niece
164	0	Auntie just called and said shes on her way..|I better get dressed then 
168	0	@SincerelyTumblr: One day I want to travel with my bestfriend ️ http://t.co/AXD3Ax5qC1 DONE DID TRAVELED DA WORLD!! @Bethanycsmithh ️
172	0	That was the cutest thing ever 
175	0	I enjoy stealing my husband hat every once in awhile  #heyyall #GoodMorning http://t.co/LknoOm7VSb
185	0	Country music & photo editing, my type of morning ️
200	0	Church sign of the day: How would you feel if we celebrated your birthday without you?  #StoleEm #TheReasonForTheSeason
208	0	@BFBulletin if @tiggr_ exclude BF3 maps from the poll... I am going to RIOT!! I really want Seine Crossing back  |I would pay for it!!
209	1	I love 14 hour shifts  
219	1	Last day in Naples with my Emma girl! #soeasytotakeapicwithatoddler  #19wksandcounting... http://t.co/Xb43RmsXAj
226	1	Yay I love being awake at 5 in the morning  
227	0	Off to a slow start this morning . 
258	0	@sammiecurtis_ me and you are the only ones that love it 
259	0	In need of a rose winee
276	1	Jeez it's a lovely morning out!!    #Ireland #December
281	1	50 mph winds make a great hair fan for a photo shoot. 
290	1	Love it when your typing at work and a spider comes out from the keyboard and hangs out between your fingers...  
298	1	Perfect time to get really sick  
323	0	@ParkzTheDon @Neilby70 Johny UR cracking me up on Facebook chatting up my mate 
328	1	@GarnetNGold22: So PSN and Xbox Live are both down on a day many people get new video games.||North Korean hack? 
332	0	dayumm!! chtis brown is ma maaayuun!! http://t.co/DNgdZhBKuH
348	1	What an eventful day...  ️
371	0	@edryden33 ill see if I can 
373	0	I really need to get my nails and eyebrows done tomorrow  been slacking on that  #cool 
378	0	Suppose I best move my arse to the #gym. Anything to put off wrapping presents  #christmas #chore
385	0	Who's eating everything on the table for Noche buena? 
401	1	Dragging her feet, smacking her lips,and scowling at the empty street while screaming into the phone!...such grace.!
413	0	just one of those nights 
417	1	Today I'll lecture on CRM investments & shareholder value ... So excited ....   I'm sleepy 
426	0	Had no sleep and have got school now  happy
427	1	love, love, love how the left side of my face is swollen.  
435	1	Yeah nice hair babes   http://t.co/8fxZpZW8qu http://t.co/Wi36fjE5EX
469	1	Well my mornings going very nicely 
470	1	Sad I don't have a Christmas jumper, thanks @Missguided for your super fast delivery  
481	1	Shakespeare is great  
494	0	Off to search for a Christmas gift for my dad bc procrastination 
514	0	@RandBall gotta hand it to them, really. 
516	1	Good thing I'm scared of clowns and my kindergarten teacher was dressed as one today.  
517	1	LUV when my hair is frozen  
522	1	Soccer game should be fun today... 
528	0	Why am I wide awake right now..
531	0	That was one long walk  #GoMe http://t.co/liRaGZvLyF
546	0	i would tell ya, but you just wouldn't understand...
548	0	Can't even explain how excited I am for tomorrow. 
579	0	Today is just not my day 
607	1	@Braaanchy14: Love randomly waking up at 5:43 am  me everyday multiple times 
620	0	@sharna_woodcock well the pain isn't makin me feel sick anymore sobe all better for the big fella 
624	0	I'm okay with snow, but sleet #howaboutno|
627	1	#instacraze  #addiction  at http://t.co/12RgzDqOR3
636	0	It's too early to be awake! 
647	0	Si Ms. Educ hehehe clear my ignorance 
652	1	Just submitted my final paper of the semester. It's only a make-it or break-it on whether I pass the class. No big deal.  
658	0	I need new boots for my birthday.. And by new boots I mean like 3 or 4 pairs  #ineednewboots #boots
660	0	@lb_southwark Why don't you Tarmac all the speed humps in The Cut in 1 go instead of bit by bit as the brickwork disintegrates!|Science
663	1	Sitting in this hall is fun!! 
666	0	I think #Stars are just the most gorgeous things in this world 
668	0	Lady in red ️|#ootd #im #the #mom  #the #godmother #lol #athenakairalyn #baptism #love... http://t.co/2RSoEHSV0B
675	1	I just love it when my knee clicks   
702	1	yet another rainy goshen concert night #surprised 
732	1	I only bought a few people gifts this year   http://t.co/dCNW7tTApn
747	1	I love cold winter days cause I never know when my car decides not to start  
751	1	OMG YES. 7:30 FINALS ON A FRIDAY ARE MY FAVORITE. ️ 
759	0	Just ordered 10 new pairs of underwear from Victoria Secret  #yay
764	0	"Day 9 ""something your reading"" #decemberchallenge #lovehistory#lovenonfiction.. @ Our Cosy House http://t.co/zPXG1tou3o"
780	0	That was a very rememberable new years kiss ️ #lovemyrelationship
801	0	Don't forget the true meaning of Christmas
804	1	@heyingridnilsen I miss seeing your face and t-Rex hands everyday on Vlogmas -Rexemoji
809	0	I hate babysitting when I'm sick because all I wanna do is sleep but I can't 
812	1	Jordan fan here||  -not a hater. http://t.co/daNzVEUucm
821	1	It's not even 9 and I've already called the cops twice.. Damn I love my job  
826	0	Can't get over this very British weather! Remember to check under you cars and wheels for any small animals, they like to hide under cars 
856	1	@LucelinaB82 I be surprised at how many ppl have me blocked   #ITalkTooMuchShit #YOURSTILLCLOCKINGMETHO #ThatsWhyYourGirlStillFollows
864	1	I love waking up at 3am feeling like my insides are being chopped into tiny pieces and set on fire.  #killmenow 
869	0	Listening to the rain in bed #Peacefull ️
892	0	@P333Games @AskPlayStation thnx all sorted now.. #kids #happy .. Thanks again @P333Games for trying to help most of all thaku for replying
898	1	So nice to have a final before the sun is even up  
901	0	Home finally! What a way to start the christmas break!!! 
905	1	Oh we get to see The Queens Garden on #itv after she addresses the nation. Just what I always wanted  
911	0	@CheenaZafar  contrary to this ... I'm wide awake (caffeine injected consciousness ) 
913	0	Time for my babies and I to take this medicine so we can get better
926	0	Bday lily painting for @laryssam27  http://t.co/IAzvrBec91
942	0	 #fistbump #positive #focus #starve #distractions #werk #motivation #createpath #uplift #success... http://t.co/Nzpp4X5j1f
960	1	my favorite thing to do on Tuesday is write psychology papers  #killme
965	1	#ready for doing #business today    #tiredashell #coffeecoffeecoffee #morecoffee #... http://t.co/baKHHhFBA4 http://t.co/juZ8pLcNES
970	1	Less than 5 hours sleep, fantastic  
971	0	@AYJamal_ wesay Yar her date was good  I guess she(in first meeting)wanted to b seen with a girl or smth(in hindsight I found her mashkook)
978	0	@MulcahyBrandan @NourMays @thisisianhogan @Traviscrawf42 @Zinnsanity14 @tannerdixon55 @Victoria_Wahl not now guys finals 
981	0	Didnt have no time to wake and bake this mornin  winnin 
986	1	@Jordanbrown_97 haha quite right mate! They coonty workers have got it aff easy Al tell ye! Oot here workin like a hamilton accie   
994	0	Saturday selfies miss you guys @ellakcx @taracasey13 jessica101xxx mark8 kiss each and one... http://t.co/9tG4rKuYNj
997	0	It was a greaaaat night! ️
1025	1	36 hours no food no drink going strong  #givemeabrew 
1035	0	Stuck in traffic!!! ️️ #mondays #athensbyrain #traffic #ontheroad #ontime?  #sisters #COOLURSTYLE... http://t.co/IqCcPYFXIt
1048	0	Cats are so cute I wish I wasn't allergic 
1049	0	@Monaiza_Diva kabhi I'm messier than usual messy wesay  I need chai & I'm resting for last 2 days. May be this is the reason.
1050	0	Claybo Dawson and I are @jsteigleman 's #squadgoals 
1055	0	@TheReal_HsK bruhh I just saw a license plate that had the letters FDB 
1059	1	Few things are more amazingly wonderful than getting up early on a Monday morning to start the work week!!!!!!  #needmoresleep 
1067	1	Ouch that hurt  
1071	1	I love math, I'm so amped for my final like 7 hours from now. I hardly studied for it. #IBeenDoingIntegralsSinceThe5thGrade  
1075	1	They don't even listen to ur order talk about great customer service 
1082	1	I love waking up with migraines  
1089	1	Hi Orgabeh, so we meet again. I think you're my soulmate.   zzzzZzz   #patience
1097	1	Went off the road this morning as did my English professor , thank you FSU for your concern for commuters  
1102	0	Apparently it's hang up on Ashley day
1111	1	Wow I really have the best luck known to man  
1112	1	I love running on 3 hours of sleep..  #ijustwannasleep 
1115	0	"My dad would have a shotgun ready|""My dad would offer him a beer""|""My dad would ask him to join his clan""| @rannimarti @Hartswormx3"
1122	1	Don't you just love when you say hi to someone in the hallway and they completely ignore you? Yeah, I love that too.  
1145	1	sorry for being female, I didn't mean to interrupt your perfect little man-world.  
1146	1	Isabelle sends me the nicest texts  
1151	0	Kisses to you bc you lose wisdom today.....from your mouth  #clever lol I love you text me when you're able  http://t.co/2ml2lE76Gc
1154	1	Good thing I gotta work today  
1155	1	Foxy Lady..#waynesworld #excellent  
1169	0	I love putting up the Christmas tree with the fam️ #christmastree
1176	0	Currently a bus wanker. I hate people  #stinks #gobonastick #dickheads
1227	1	 Half of the testing group was very helpful today. 
1229	0	Amen  .... I love this! If you didn't plan, then it's your problem  #truth  emergency @ Pearl... http://t.co/pg2o4SgFwj
1241	1	And you just skip my TBH? Do you not like me so much as to just erase me from your life or something? #awesome 
1244	0	Happy New Year all my Twitter people. Hope you have a happy and successful 2015! Lots of love  #2015season #2014sucks
1260	1	 #POPCORN!!!!!!  bringing this at movie tuesday night!!  http://t.co/6ucMg84g4w
1269	0	Babysitting night! Hoping my car doesn't get towed bc idk where to park 
1298	0	@bigbillybmoney oh haha no they ain't  you ain't even seen em
1323	1	Can't wait to work with the dream team again today!! #delilyfe  
1331	1	@lucasharriss_ Ok, hope it will rain soon  
1334	1	Yeah so I'm on a diet  http://t.co/RfgZvzuBC5
1343	1	We'll that was a great way to start off my morning  
1347	1	@danisnotonfire which one is more disturbing dan? Tickling an elf's or biting it..... #philisinnocent   http://t.co/0cTCRH94DW
1374	1	Its gonna be a loooong day..  but yolo lets have fun  
1382	1	Accidentally breaking your own computer when your tech support! Haha , talk about employee of the month  #techSupport 
1401	1	Yea I love it when 2 is already throwing a tantrum upon waking up. Totally. Awesome.   @NannyProbss
1412	0	Falling asleep to the sound of rain is so relaxing ️
1419	1	Looking forward to doing my 4 page essay tonight  seems like fun 
1423	0	Yoga pants, a sweatshirt, and nikes, am I @RosieMorse yet? 
1447	0	This kid right here makes me so happy ️ #nephew http://t.co/4J4wI6qp2v
1453	0	@Neilby70 @TonyBrown03 @ParkzTheDon @PatrickStan14 @goodgary99 @LosDaGooner @GazTheGooner84 Ya welcome hunny
1461	0	@aadashusain to you too. :) 
1470	0	@Cameronjwalker4 miss u I'm leaving on 7th so .... Need to see you before I go 
1475	0	Each snooze button is more tempting than the last 
1483	0	I come up with some ridiculous scenarios in my head 
1489	1	Love that my buses are every half an hour 
1492	1	I just love when you test my patience! ️ 
1496	0	Dayum, I really got the house to myself while my brother still has school all week 
1503	0	I got to meet a real CSI tonight #cool but the little jerks who broke into his office at 2am  cool
1527	0	@LouiseRosalia I'm good at banter... 
1537	0	NO PAİN- NO GAİN ! |#Fit #Fitness #gym |#No  #Give #Up  http://t.co/SUDpHIbdEZ
1547	0	I can't wait to jump in my bed tonight and sleep! #sotired
1557	0	@kaylz96 no , not anymore. 
1569	1	Ready to conquer the day  @yn0htna #leavemealonemom #my2fave️#bahhumbug http://t.co/jQ9aJBISbW
1589	1	I guess I'll eat leftovers for breakfast AGAIN, while others get black bear.. #cuzididntwantgoodfood  #truth #hungry 
1592	0	Connacht Camogie champions 2014! 3 years in a row! Hon HRC! #MountbellewIsAHurlingStronghold  #HolyRosary4life #SeniorB 
1602	1	Gotta study and I'm like, who cares?!  #perksofbeingasenior 
1619	0	@Melissa_Barrow hahahah Donna being inspirational and shit  that's great
1629	0	it  just had to snow and cancel our Vball tournament today... #ball #is  #life
1651	0	@UGpk when dad calls me by this name  we often go into a fight .. You want a fight ? 
1660	0	happy birthday to my boo @James_on00 ️ love you, have a great day! http://t.co/kvY9eSiOCd
1668	0	Solid leg day  felt great and hit my max for 2. Can't wait to squat 315!
1669	1	I just love being in charge of comp music  
1697	0	@DIYcookery: A Guide To Coffee  http://t.co/CXJigjMwaa LOL, espresso from that time we went to the Maple Leafs fan fest @sammiebressette
1709	0	What doesn't kill you makes you #stronger ...I'm  #perfect #mybody  http://t.co/lBIZvOjuE5
1718	1	WAIT the GA I have a crush on and emailed me and told me it was great to have me in class  he totally loves me 
1719	1	Woke up to find out my vehicle insurance went up $22 a month!! Merry Christmas to me...  
1725	1	I love it when work tells me they don't need me to come in  
1726	0	look for the girl with the broken smile, ask her if she wants to stay while, and she will be loved. 
1729	0	Time for babygirl and I to get our beauty sleep
1732	0	@EdMartin_Music excited for 2015 its gonna be a good year for music ur gonna smash it #Ed
1754	0	Chillax Bitches.  why is my face so squished. #fireball http://t.co/2J6NiWuIPJ
1759	1	Ahhh Finals week.... I'll throw a kegger at my house for all the survivors  #Motivating  #RIP
1778	0	"@aleciamarie21 @DonnieWahlberg is it bad that after my ""happy Preds won""  dance my first thought was Donnie?! "
1785	0	@14_CeRivera I never study lolz. I've been working on a presentation thats due tomorrow and I just now started
1786	0	@TheBodyShopUK I dont know what it is but I'm in love your products Christmas heaven! #love #skincare #beauty . http://t.co/ROUQLlla1f
1788	1	On a good note, only 49 more days until #Scandal.  
1802	1	way to prove that women are more than just breasts & an ass...  
1803	1	waking up congested/not being able to breathe is a great feeling.  
1804	0	my life won't be complete until I meet @Theresacaputo 
1808	1	*gasp* The girls are at a rehearsal studio today? You don't say... Hmmm wonder what on earth for? ️  #MTVStars Little Mix
1809	0	@Neilby70 yeah not to bad been asleep most of it my backs been playing up so been on strong painkillers that knock me out 
1810	1	There's nothing better than the feeling of being loved  lol nothing  
1830	0	My dream is to celebrate Christmas with you 
1836	0	I had the best New Years!!!! Spent it with the people I love & I fucking loved it!  Such a happy camper right now! ️
1864	0	Ariana Grandes makeup is always sooo flawless 
1872	0	@RenuGill_x someone's on the defensive...if the shoe fits ️
1906	0	I wish a mf would | my day!
1909	1	@CjCarson17 only children at home status. Woohoo Isn't it fun... 
1910	1	What wonderful weather we are having...I might need sunscreen today   󾍁
1912	1	At least my tan looks good   need to learn to appreciate my pale skin 
1913	1	well today is gonna be a great day  
1915	1	67 is such a beauty   #manitibaprobs
1919	0	Gotta record my favorite show Tamar&Vince season finale!!!
1928	0	Who dares to play this game? Lol #Shots #Sex #Fine #Tipsy #Drunk #Dead   #NeedAGoodLaugh http://t.co/ETKxZpfv5X
1937	0	Might go back to bed it's easier then making the effort @PatrickRowe123   #wrong 
1946	0	@_Liam_Walker_ but  in term time my son........ 
1948	0	I may or may not be obsessed with the grinch 
1960	0	Rocking the Christmas socks at work. It's the little things like this that make me happy. #essentialservice  http://t.co/E5jqetthIt
1967	1	Dad and step mom bitching at each other, now it's Christmas   #ugh
1968	1	internet got me like  #stillalive  http://t.co/q7cK7aQnQZ
1974	1	Can't wait for my boyfriend to come home and kick my butt into shape....   @DylanJohannink
1989	0	Why do I have to have a good game then a bad game and then a good game then a bad game again. 
