index	label	text	word_count	emojis	emoji_count	emoji_sentiment_scores
13	0	@TargetZonePT 😡 no he bloody isn't I was upstairs getting changed !	12	😡	1	-0.173
25	1	Love these cold winter mornings 😬 best feeling everrrrrrr !	10	😬	1	0.196
27	0	Wish she could have told me herself. @NicoleScherzy #nicolescherzinger #OneLove #myfav #MyQueen ❤️❤️ http://t.co/queL09fqyr	14	❤❤	2	0.746
28	0	The rain has made extra extra lazy😅	7	😅	1	0.18
34	0	@Pure_playa85 lol 😁.. Will let my kids know when they get up in the morning.. Thanks for the tip	19	😁	1	0.45
39	1	Yay for another work at 4am day 😐 	8	😐	1	-0.393
41	1	Omg @FloptimusCrime didn't tell @giantfootyguy he was in town 😱 #trueFriend 	11	😱	1	0.19
45	0	Lol! I m enjoying it👭 #Talks #Crazyness #SheNeverLeft  sleepy!! ☺	10	👭☺	2	0.565
69	2	I asked God to protect me from my enemies .. shortly after I started losing friends 😳💯  or #naah	19	😳💯	2	0.06949999999999999
85	0	On my lunch break so sleepy😴	6	😴	1	-0.081
100	1	i just loveee bein short and having my sweatpants go all the way under my feet its so fun... 💩	20	💩	1	-0.118
104	0	I don't even have progress on my thesis tas preparations for our event this thursday 😩	16	😩	1	-0.368
109	1	I'm so pissed off at Chicago. Like the people at the airport ruined so many peoples chances of ever meeting the boys 😑😑😑. Way to go 	26	😑😑😑	3	-0.314
112	0	Its a marshmallow world in the winter 🎶 #getthisoutofmyhead	9	🎶	1	0.539
120	0	@MohammadFarooq_ Asalamoalekum... 😃 kesay mizaj ? Thank you so much. It was posted on 2nd December 2013. Already there. 😇	20	😃😇	2	0.579
153	1	I like listening to dads truck drivers tell me about them going to the strip joint and their old lady getting mad at them over it  😂	27	😂	1	0.221
155	0	@nfullers98 its a week joke I have with Jessica and my niece🙌	12	🙌	1	0.56
164	0	Auntie just called and said shes on her way..|I better get dressed then 😲😂😂	14	😲😂😂	3	0.124
168	0	@SincerelyTumblr: One day I want to travel with my bestfriend 🌏✈️ http://t.co/AXD3Ax5qC1 DONE DID TRAVELED DA WORLD!! @Bethanycsmithh ❤️	19	🌏✈❤	3	0.5083333333333333
172	0	That was the cutest thing ever 😍😘	7	😍😘	2	0.69
175	0	I enjoy stealing my husband hat every once in awhile 😍😘😳 #heyyall #GoodMorning http://t.co/LknoOm7VSb	14	😍😘😳	3	0.46599999999999997
185	0	Country music & photo editing, my type of morning ☀️🎶	10	☀🎶	2	0.503
200	0	Church sign of the day: How would you feel if we celebrated your birthday without you? 🙊 #StoleEm #TheReasonForTheSeason	19	🙊	1	0.461
208	0	@BFBulletin if @tiggr_ exclude BF3 maps from the poll... I am going to RIOT!! I really want Seine Crossing back 😭 😭|I would pay for it!!	26	😭😭	2	-0.093
209	1	I love 14 hour shifts  😩😩😩	6	😩😩😩	3	-0.36800000000000005
219	1	Last day in Naples with my Emma girl! 🌴☀#soeasytotakeapicwithatoddler  #19wksandcounting... http://t.co/Xb43RmsXAj	11	🌴☀	2	0.5005000000000001
226	1	Yay I love being awake at 5 in the morning 😀🔫 	11	😀🔫	2	0.18849999999999997
227	0	Off to a slow start this morning . 😩	9	😩	1	-0.368
258	0	@sammiecurtis_ me and you are the only ones that love it 😆🎅🎉🎶	12	😆🎅🎉🎶	4	0.503
259	0	In need of a rose winee🍷🍷	6	🍷🍷	2	0.401
276	1	Jeez it's a lovely morning out!! 💨💧💦 👎  #Ireland #December	10	💨💧💦👎	4	0.1265
281	1	50 mph winds make a great hair fan for a photo shoot. 😃	13	😃	1	0.558
290	1	Love it when your typing at work and a spider comes out from the keyboard and hangs out between your fingers...  🙈	22	🙈	1	0.433
298	1	Perfect time to get really sick  😫😷	7	😫😷	2	-0.1585
323	0	@ParkzTheDon @Neilby70 Johny UR cracking me up on Facebook chatting up my mate 😆😆😆	14	😆😆😆	3	0.412
328	2	@GarnetNGold22: So PSN and Xbox Live are both down on a day many people get new video games.||North Korean hack? 😫	21	😫	1	-0.146
332	0	dayumm!! chtis brown is ma maaayuun!!😂😂😂 http://t.co/DNgdZhBKuH	7	😂😂😂	3	0.221
348	1	What an eventful day...  ✌️	5	✌	1	0.464
371	0	@edryden33 ill see if I can 😉	7	😉	1	0.464
373	0	I really need to get my nails and eyebrows done tomorrow 😁 been slacking on that  #cool 💅🙅💁	18	😁💅🙅💁	4	0.24200000000000005
378	0	Suppose I best move my arse to the #gym. Anything to put off wrapping presents 😕🎁 #christmas #chore	18	😕🎁	2	0.1835
385	0	Who's eating everything on the table for Noche buena? 🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋	10	🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋	22	0.4920000000000002
